Decode1,Pal,
256.6us,0033,,
257us,0023,,
257.5us,0023,,
257.9us,0024,,
258.3us,0024,,
258.7us,0024,,
259.1us,0024,,
259.5us,0025,,
260us,0025,,
260.4us,0025,,
260.8us,0025,,
261.2us,0026,,
261.6us,0028,,
262us,0028,,
262.5us,0029,,
262.9us,0029,,
263.3us,0029,,
263.7us,002A,,
264.1us,002A,,
264.5us,002A,,
265us,0033,,
265.4us,0033,,
265.8us,0033,,
266.2us,0034,,
266.6us,0034,,
267us,0034,,
267.5us,0034,,
267.9us,0034,,
268.3us,0035,,
268.7us,0035,,
269.1us,0035,,
269.5us,0036,,
270us,0032,,
270.4us,0032,,
270.8us,0033,,
271.2us,0033,,
271.6us,0033,,
272us,0033,,
272.5us,0033,,
272.9us,0023,,
273.3us,0023,,
273.7us,0024,,
274.1us,0024,,
274.5us,0024,,
275us,0024,,
275.4us,0025,,
275.8us,0025,,
276.2us,0025,,
276.6us,0025,,
277us,0026,,
277.5us,0028,,
277.9us,0028,,
278.3us,0029,,
278.7us,0029,,
279.1us,0029,,
279.5us,002A,,
280us,002A,,
280.4us,002A,,
280.8us,0033,,
281.2us,0033,,
281.6us,0033,,
282us,0034,,
282.5us,0034,,
282.9us,0034,,
283.3us,0034,,
283.7us,0034,,
284.1us,0035,,
284.5us,0035,,
285us,0035,,
285.4us,0036,,
285.8us,0032,,
286.2us,0032,,
286.6us,0033,,
287us,0033,,
287.5us,0033,,
287.9us,0033,,
288.3us,0033,,
288.7us,0023,,
289.1us,0023,,
289.5us,0024,,
290us,0024,,
290.4us,0024,,
290.8us,0024,,
291.2us,0025,,
291.6us,0025,,
292us,0025,,
292.5us,0025,,
292.9us,0026,,
293.3us,0028,,
293.7us,0028,,
294.1us,0029,,
294.5us,0029,,
295us,0029,,
295.4us,002A,,
295.8us,002A,,
296.2us,002A,,
296.6us,0033,,
297us,0033,,
297.5us,0033,,
297.9us,0034,,
298.3us,0034,,
298.7us,0034,,
299.1us,0034,,
299.5us,0034,,
300us,0035,,
300.4us,0035,,
300.8us,0035,,
301.2us,0036,,
301.6us,0032,,
302us,0032,,
302.5us,0033,,
302.9us,0033,,
303.3us,0033,,
303.7us,0033,,
304.1us,0033,,
304.5us,0023,,
305us,0023,,
305.4us,0024,,
305.8us,0024,,
306.2us,0024,,
306.6us,0024,,
307us,0025,,
307.5us,0025,,
307.9us,0025,,
308.3us,0025,,
308.7us,0026,,
309.1us,0028,,
309.5us,0028,,
310us,0029,,
310.4us,0029,,
310.8us,0029,,
311.2us,002A,,
311.6us,002A,,
312us,002A,,
312.5us,0033,,
312.9us,0033,,
313.3us,0033,,
313.7us,0034,,
314.1us,0034,,
314.5us,0034,,
315us,0034,,
315.4us,0034,,
315.8us,0035,,
316.2us,0035,,
316.6us,0035,,
317us,0036,,
317.5us,0032,,
